"Código.do.Município","Município","Estado","Ano.de.Referência","Prestadores","Serviços","G06A...População.urbana.residente.do.s..município.s..com.abastecimento.de.água..Habitantes.","G06B...População.urbana.residente.do.s..município.s..com.esgotamento.sanitário..Habitantes.","G12A...População.total.residente.do.s..município.s..com.abastecimento.de.água..segundo.o.IBGE..Habitantes.","G12B...População.total.residente.do.s..município.s..com.esgotamento.sanitário..segundo.o.IBGE..Habitantes.","GE008...Quantidade.de.Sedes.municipais.atendidas.com.abastecimento.de.água..Sedes.","GE009...Quantidade.de.Sedes.municipais.atendidas.com.esgotamento.sanitário..Sedes.","GE010...Quantidade.de.Localidades..excluídas.as.sedes..atendidas.com.abastecimento.de.água..Localidades.","GE011...Quantidade.de.Localidades..excluídas.as.sedes..atendidas.com.esgotamento.sanitário..Localidades.","POP_TOT...População.total.do.município.do.ano.de.referência..Fonte..IBGE....Habitantes.","POP_URB...População.urbana.do.município.do.ano.de.referência..Fonte..IBGE....Habitantes."
"220095","Aroeiras do Itaim","PI","2008","","",,,,,,,,,"2731","261"
"220095","Aroeiras do Itaim","PI","2015","","",,,,,,,,,"2460","240"
"220095","Aroeiras do Itaim","PI","2007","","",,,,,,,,,"2654","254"
"220095","Aroeiras do Itaim","PI","2004","","",,,,,,,,,"2561","245"
"220105","Assunção do Piauí","PI","2007","","",,,,,,,,,"8011","3569"
"220105","Assunção do Piauí","PI","2008","","",,,,,,,,,"8243","3672"
"220105","Assunção do Piauí","PI","2014","[22010511] Prefeitura Municipal de Assunção do Piauí - PMAP; [22010540] SECRETARIA DE ADMINISTRAÇÃO E PLANEJAMENTO - SAPLAN","Água; Res Sólidos","3452",,"7667",,"1",,"22",,"7667","3452"
"220105","Assunção do Piauí","PI","2015","[22010511] Prefeitura Municipal de Assunção do Piauí - PMAP; [22010540] SECRETARIA DE ADMINISTRAÇÃO E PLANEJAMENTO - SAPLAN","Água; Res Sólidos","3460",,"7686",,"1",,"22",,"7686","3460"
"220105","Assunção do Piauí","PI","2006","","",,,,,,,,,"7467","3050"
"220105","Assunção do Piauí","PI","2009","[22010511] Prefeitura Municipal de Assunção do Piauí - PMAP","Água","3729",,"8370",,"1",,"20",,"8370","3729"
"220105","Assunção do Piauí","PI","1997","","",,,,,,,,,"6362","2599"
"220105","Assunção do Piauí","PI","2001","","",,,,,,,,,"6955","2841"
"220105","Assunção do Piauí","PI","2012","[22010511] Prefeitura Municipal de Assunção do Piauí - PMAP; [22010540] SECRETARIA DE ADMINISTRAÇÃO E PLANEJAMENTO - SAPLAN","Água; Res Sólidos","3417",,"7590",,"1",,"22",,"7590","3417"
"220105","Assunção do Piauí","PI","2011","[22010511] Prefeitura Municipal de Assunção do Piauí - PMAP; [22010540] SECRETARIA DE ADMINISTRAÇÃO E PLANEJAMENTO - SAPLAN","Água; Res Sólidos","3398",,"7547",,"1",,"0",,"7547","3398"
"220105","Assunção do Piauí","PI","2002","","",,,,,,,,,"7085","2894"
"220105","Assunção do Piauí","PI","1999","","",,,,,,,,,"6441","2631"
"220105","Assunção do Piauí","PI","2000","","",,,,,,,,,"6933","2832"
"220105","Assunção do Piauí","PI","2013","[22010511] Prefeitura Municipal de Assunção do Piauí - PMAP; [22010540] SECRETARIA DE ADMINISTRAÇÃO E PLANEJAMENTO - SAPLAN","Água; Res Sólidos","3442",,"7645",,"1",,"22",,"7645","3442"
"220105","Assunção do Piauí","PI","1998","","",,,,,,,,,"6402","2615"
